"FID_","Month_","Day_","Year_","Longitude","Latitude","Date_","fgadkey","toppid","tagcode","seriesname","tagtype","positiontype","breedingst"
74136,10.000000,13.000000,2011.000000,-63.000000,44.420000,10/13/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74137,10.000000,15.000000,2011.000000,-64.130000,44.380000,10/15/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74138,10.000000,16.000000,2011.000000,-63.650000,44.290000,10/16/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74139,10.000000,21.000000,2011.000000,-63.650000,43.420000,10/21/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74140,10.000000,22.000000,2011.000000,-64.390000,43.540000,10/22/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74141,10.000000,23.000000,2011.000000,-63.170000,43.580000,10/23/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74142,10.000000,26.000000,2011.000000,-63.380000,43.960000,10/26/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74143,10.000000,27.000000,2011.000000,-63.650000,43.830000,10/27/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74144,11.000000,3.000000,2011.000000,-66.730000,39.250000,11/3/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74145,11.000000,6.000000,2011.000000,-67.160000,39.420000,11/6/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74146,11.000000,7.000000,2011.000000,-67.480000,39.250000,11/7/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74147,11.000000,16.000000,2011.000000,-75.350000,34.000000,11/16/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74148,11.000000,20.000000,2011.000000,-79.090000,31.040000,11/20/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74149,11.000000,21.000000,2011.000000,-80.600000,30.920000,11/21/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74150,11.000000,29.000000,2011.000000,-91.540000,24.000000,11/29/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74151,12.000000,1.000000,2011.000000,-93.790000,24.000000,12/1/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74152,12.000000,2.000000,2011.000000,-94.750000,23.920000,12/2/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74153,12.000000,3.000000,2011.000000,-93.080000,24.000000,12/3/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74154,12.000000,4.000000,2011.000000,-92.520000,24.000000,12/4/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74155,12.000000,5.000000,2011.000000,-91.730000,24.000000,12/5/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74156,12.000000,6.000000,2011.000000,-93.050000,24.000000,12/6/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74157,12.000000,7.000000,2011.000000,-91.840000,24.080000,12/7/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74158,12.000000,9.000000,2011.000000,-89.760000,24.750000,12/9/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
74159,12.000000,10.000000,2011.000000,-90.400000,24.880000,12/10/2011,511103300,5111033,PAM110P0587,Canada 2011,3,4,1
