"FID_","Month_","Day_","Year_","Longitude","Latitude","Date_","fgadkey","toppid","tagcode","seriesname","tagtype","positiontype","breedingst"
73125,9.000000,30.000000,2011.000000,-60.920000,46.750000,9/30/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73126,10.000000,5.000000,2011.000000,-63.210000,43.880000,10/5/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73127,10.000000,13.000000,2011.000000,-60.000000,42.830000,10/13/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73128,10.000000,14.000000,2011.000000,-60.920000,43.500000,10/14/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73129,10.000000,16.000000,2011.000000,-60.210000,44.630000,10/16/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73130,10.000000,17.000000,2011.000000,-60.020000,44.750000,10/17/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73131,10.000000,18.000000,2011.000000,-60.480000,44.290000,10/18/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73132,10.000000,19.000000,2011.000000,-60.840000,44.040000,10/19/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73133,10.000000,20.000000,2011.000000,-60.600000,44.250000,10/20/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73134,10.000000,21.000000,2011.000000,-62.150000,43.630000,10/21/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73135,10.000000,22.000000,2011.000000,-62.860000,43.750000,10/22/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73136,10.000000,23.000000,2011.000000,-63.390000,43.630000,10/23/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73137,10.000000,25.000000,2011.000000,-64.310000,44.080000,10/25/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73138,10.000000,27.000000,2011.000000,-65.880000,42.420000,10/27/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73139,10.000000,30.000000,2011.000000,-67.570000,40.500000,10/30/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73140,10.000000,31.000000,2011.000000,-67.010000,40.500000,10/31/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73141,11.000000,2.000000,2011.000000,-69.440000,38.830000,11/2/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73142,11.000000,4.000000,2011.000000,-68.670000,38.790000,11/4/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73143,11.000000,5.000000,2011.000000,-69.880000,38.500000,11/5/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73144,11.000000,6.000000,2011.000000,-71.220000,38.380000,11/6/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73145,11.000000,8.000000,2011.000000,-72.980000,36.790000,11/8/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73146,11.000000,9.000000,2011.000000,-73.900000,36.130000,11/9/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73147,11.000000,10.000000,2011.000000,-74.870000,35.460000,11/10/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73148,11.000000,12.000000,2011.000000,-75.180000,34.380000,11/12/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73149,11.000000,14.000000,2011.000000,-76.720000,32.790000,11/14/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73150,11.000000,17.000000,2011.000000,-74.950000,33.540000,11/17/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73151,11.000000,18.000000,2011.000000,-75.420000,33.460000,11/18/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73152,11.000000,19.000000,2011.000000,-76.020000,32.830000,11/19/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73153,11.000000,20.000000,2011.000000,-76.340000,33.130000,11/20/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73154,11.000000,29.000000,2011.000000,-76.370000,25.710000,11/29/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73155,12.000000,1.000000,2011.000000,-75.930000,24.830000,12/1/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73156,12.000000,12.000000,2011.000000,-76.690000,22.380000,12/12/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73157,12.000000,14.000000,2011.000000,-76.700000,23.170000,12/14/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73158,12.000000,15.000000,2011.000000,-77.190000,23.170000,12/15/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73159,12.000000,16.000000,2011.000000,-76.370000,23.330000,12/16/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73160,12.000000,17.000000,2011.000000,-78.080000,22.750000,12/17/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73161,12.000000,20.000000,2011.000000,-80.000000,25.250000,12/20/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73162,12.000000,22.000000,2011.000000,-76.960000,26.000000,12/22/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73163,12.000000,23.000000,2011.000000,-76.860000,25.250000,12/23/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73164,12.000000,24.000000,2011.000000,-76.980000,26.000000,12/24/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73165,12.000000,30.000000,2011.000000,-77.850000,27.750000,12/30/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73166,12.000000,31.000000,2011.000000,-76.920000,28.500000,12/31/2011,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73167,1.000000,3.000000,2012.000000,-78.860000,26.750000,1/3/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73168,1.000000,5.000000,2012.000000,-78.470000,25.750000,1/5/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73169,1.000000,8.000000,2012.000000,-78.380000,27.750000,1/8/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73170,1.000000,10.000000,2012.000000,-79.540000,27.250000,1/10/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73171,1.000000,12.000000,2012.000000,-78.400000,25.500000,1/12/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73172,1.000000,16.000000,2012.000000,-86.980000,22.750000,1/16/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73173,1.000000,17.000000,2012.000000,-85.380000,22.750000,1/17/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73174,1.000000,20.000000,2012.000000,-89.840000,22.750000,1/20/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73175,1.000000,21.000000,2012.000000,-90.770000,22.750000,1/21/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73176,1.000000,23.000000,2012.000000,-90.120000,22.500000,1/23/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73177,1.000000,24.000000,2012.000000,-92.000000,22.500000,1/24/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73178,1.000000,25.000000,2012.000000,-91.970000,22.500000,1/25/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73179,1.000000,27.000000,2012.000000,-93.040000,22.500000,1/27/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73180,1.000000,30.000000,2012.000000,-90.250000,24.500000,1/30/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73181,1.000000,31.000000,2012.000000,-90.830000,23.750000,1/31/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73182,2.000000,1.000000,2012.000000,-88.860000,23.750000,2/1/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73183,2.000000,2.000000,2012.000000,-89.250000,23.750000,2/2/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
73184,2.000000,3.000000,2012.000000,-87.270000,23.750000,2/3/2012,511102700,5111027,PAM110P0574,Canada 2011,3,4,1
