"FID_","Month_","Day_","Year_","Longitude","Latitude","Date_","fgadkey","toppid","tagcode","seriesname","tagtype","positiontype","breedingst"
76249,10.000000,12.000000,2012.000000,-63.140000,46.000000,10/12/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76250,10.000000,15.000000,2012.000000,-62.350000,45.750000,10/15/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76251,10.000000,19.000000,2012.000000,-60.240000,45.000000,10/19/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76252,10.000000,21.000000,2012.000000,-64.480000,43.750000,10/21/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76253,10.000000,22.000000,2012.000000,-63.720000,43.790000,10/22/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76254,10.000000,23.000000,2012.000000,-63.260000,43.880000,10/23/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76255,10.000000,25.000000,2012.000000,-61.410000,44.960000,10/25/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76256,10.000000,26.000000,2012.000000,-61.320000,45.000000,10/26/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76257,10.000000,27.000000,2012.000000,-60.800000,45.040000,10/27/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76258,10.000000,28.000000,2012.000000,-62.020000,44.920000,10/28/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76259,10.000000,30.000000,2012.000000,-67.500000,43.790000,10/30/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76260,10.000000,31.000000,2012.000000,-67.550000,43.920000,10/31/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76261,11.000000,8.000000,2012.000000,-67.360000,39.000000,11/8/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76262,11.000000,9.000000,2012.000000,-68.520000,38.750000,11/9/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76263,11.000000,10.000000,2012.000000,-68.560000,38.500000,11/10/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76264,11.000000,11.000000,2012.000000,-67.780000,38.250000,11/11/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76265,11.000000,12.000000,2012.000000,-69.210000,38.170000,11/12/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76266,11.000000,17.000000,2012.000000,-71.230000,38.000000,11/17/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76267,11.000000,20.000000,2012.000000,-72.940000,36.000000,11/20/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76268,11.000000,21.000000,2012.000000,-72.930000,36.000000,11/21/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76269,11.000000,22.000000,2012.000000,-74.160000,35.750000,11/22/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76270,11.000000,23.000000,2012.000000,-75.500000,35.900000,11/23/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76271,11.000000,26.000000,2012.000000,-76.190000,33.750000,11/26/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76272,12.000000,1.000000,2012.000000,-79.290000,30.750000,12/1/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76273,12.000000,2.000000,2012.000000,-79.840000,30.500000,12/2/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76274,12.000000,8.000000,2012.000000,-90.200000,25.380000,12/8/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76275,12.000000,11.000000,2012.000000,-90.610000,27.170000,12/11/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76276,12.000000,12.000000,2012.000000,-91.530000,27.130000,12/12/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76277,12.000000,14.000000,2012.000000,-93.890000,28.080000,12/14/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76278,12.000000,15.000000,2012.000000,-93.850000,28.000000,12/15/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76279,12.000000,16.000000,2012.000000,-94.140000,28.000000,12/16/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76280,12.000000,17.000000,2012.000000,-94.630000,27.920000,12/17/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76281,12.000000,18.000000,2012.000000,-94.570000,27.920000,12/18/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76282,12.000000,20.000000,2012.000000,-95.760000,26.790000,12/20/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76283,12.000000,21.000000,2012.000000,-95.860000,26.830000,12/21/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76284,12.000000,22.000000,2012.000000,-96.380000,26.960000,12/22/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76285,12.000000,23.000000,2012.000000,-96.650000,26.920000,12/23/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
76286,12.000000,24.000000,2012.000000,-96.240000,27.000000,12/24/2012,511204100,5112041,PAM111P0763,Canada 2012,3,4,1
