"FID_","Month_","Day_","Year_","Longitude","Latitude","Date_","fgadkey","toppid","tagcode","seriesname","tagtype","positiontype","breedingst"
74287,10.000000,21.000000,2011.000000,-59.730000,45.830000,10/21/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74288,10.000000,22.000000,2011.000000,-60.420000,45.580000,10/22/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74289,10.000000,23.000000,2011.000000,-60.410000,45.330000,10/23/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74290,10.000000,25.000000,2011.000000,-60.640000,44.580000,10/25/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74291,10.000000,26.000000,2011.000000,-59.120000,45.040000,10/26/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74292,10.000000,27.000000,2011.000000,-61.100000,45.040000,10/27/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74293,10.000000,28.000000,2011.000000,-61.070000,45.040000,10/28/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74294,10.000000,29.000000,2011.000000,-61.720000,44.540000,10/29/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74295,10.000000,31.000000,2011.000000,-63.420000,44.380000,10/31/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74296,11.000000,1.000000,2011.000000,-64.710000,43.710000,11/1/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74297,11.000000,2.000000,2011.000000,-64.640000,43.170000,11/2/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74298,11.000000,3.000000,2011.000000,-65.610000,43.130000,11/3/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74299,11.000000,4.000000,2011.000000,-67.080000,42.460000,11/4/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74300,11.000000,5.000000,2011.000000,-65.820000,41.790000,11/5/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74301,11.000000,7.000000,2011.000000,-66.560000,40.250000,11/7/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74302,11.000000,8.000000,2011.000000,-66.580000,39.630000,11/8/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74303,11.000000,9.000000,2011.000000,-67.060000,39.040000,11/9/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74304,11.000000,11.000000,2011.000000,-67.920000,38.960000,11/11/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74305,11.000000,20.000000,2011.000000,-68.950000,36.580000,11/20/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74306,11.000000,22.000000,2011.000000,-67.420000,37.500000,11/22/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74307,11.000000,30.000000,2011.000000,-67.220000,35.830000,11/30/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74308,12.000000,3.000000,2011.000000,-69.710000,37.000000,12/3/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74309,12.000000,4.000000,2011.000000,-70.370000,36.960000,12/4/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74310,12.000000,6.000000,2011.000000,-71.850000,36.580000,12/6/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74311,12.000000,7.000000,2011.000000,-72.780000,36.000000,12/7/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74312,12.000000,8.000000,2011.000000,-71.660000,36.130000,12/8/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74313,12.000000,11.000000,2011.000000,-74.540000,33.960000,12/11/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74314,12.000000,12.000000,2011.000000,-75.960000,34.210000,12/12/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74315,12.000000,13.000000,2011.000000,-75.860000,34.040000,12/13/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74316,12.000000,14.000000,2011.000000,-76.690000,33.630000,12/14/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74317,12.000000,19.000000,2011.000000,-74.600000,32.500000,12/19/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74318,12.000000,20.000000,2011.000000,-74.510000,32.250000,12/20/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
74319,12.000000,21.000000,2011.000000,-73.720000,32.000000,12/21/2011,511104500,5111045,PAM110P0590,Canada 2011,3,4,1
